Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2014,N/A,N/A,N/A,10.0,91.2,84.2,N/A,63.1,75.0,74.3,N/A,65.0,N/A
Albania,2014,66.9,30.0,N/A,30.4,92.7,75.6,N/A,78.1,49.7,80.0,87.5,75.0,70.0
Algeria,2014,50.8,30.0,N/A,28.7,80.5,51.0,N/A,66.3,48.3,67.8,60.8,45.0,30.0
Angola,2014,47.7,15.0,N/A,17.7,87.7,55.3,N/A,47.5,40.1,63.6,70.1,40.0,40.0
Argentina,2014,44.6,15.0,N/A,29.5,63.5,49.9,N/A,53.9,44.9,60.0,68.9,30.0,30.0
Armenia,2014,68.9,30.0,N/A,26.7,86.5,81.3,N/A,83.1,78.5,77.0,85.5,70.0,70.0
Australia,2014,82.0,90.0,N/A,87.7,64.2,62.6,N/A,94.6,79.2,80.5,86.4,85.0,90.0
Austria,2014,72.4,90.0,N/A,75.5,51.0,23.5,N/A,76.3,80.5,79.5,87.8,90.0,70.0
Azerbaijan,2014,61.3,20.0,N/A,22.7,88.1,64.8,N/A,73.5,77.9,78.8,77.2,60.0,50.0
Bahrain,2014,75.1,60.0,N/A,49.4,99.9,71.4,N/A,76.3,82.0,78.4,78.6,75.0,80.0
"Bangladesh ",2014,54.1,20.0,N/A,23.3,72.5,92.3,N/A,70.8,51.9,65.9,59.0,55.0,30.0
Barbados,2014,68.3,80.0,N/A,77.9,74.0,49.8,N/A,72.8,78.4,74.6,60.6,55.0,60.0
Belarus,2014,50.1,20.0,N/A,24.6,89.2,61.2,N/A,73.4,77.7,33.9,81.4,30.0,10.0
Belgium,2014,69.9,80.0,N/A,74.2,44.8,14.8,N/A,89.9,72.7,79.5,87.8,85.0,70.0
Belize,2014,56.7,30.0,N/A,6.7,82.1,74.2,N/A,71.6,67.2,77.6,67.8,40.0,50.0
Benin,2014,57.1,30.0,N/A,29.5,68.3,86.1,N/A,51.0,50.5,75.4,60.0,70.0,50.0
Bhutan,2014,56.7,60.0,N/A,58.8,82.9,57.2,N/A,59.4,83.6,65.8,49.4,20.0,30.0
Bolivia,2014,48.4,10.0,N/A,28.1,87.1,62.5,N/A,53.4,29.9,70.0,77.6,15.0,50.0
Bosnia and Herzegovina,2014,58.4,20.0,N/A,33.9,82.9,27.4,N/A,55.5,62.4,80.1,86.9,75.0,60.0
Botswana,2014,72.0,70.0,N/A,61.2,81.0,69.8,N/A,68.5,69.7,72.4,82.7,75.0,70.0
Brazil,2014,56.9,50.0,N/A,37.9,68.8,54.1,N/A,53.8,49.8,69.9,69.3,55.0,60.0
Brunei Darussalam,2014,69.0,40.0,N/A,53.3,90.2,66.1,N/A,68.2,96.5,74.2,81.8,70.0,50.0
Bulgaria,2014,65.7,30.0,N/A,35.2,91.2,64.5,N/A,73.5,80.2,79.6,87.8,55.0,60.0
Burkina Faso,2014,58.9,30.0,N/A,31.3,83.0,82.3,N/A,60.7,55.0,78.8,67.8,60.0,40.0
Burma,2014,46.5,10.0,N/A,11.6,86.9,89.2,N/A,28.3,75.7,64.8,73.6,15.0,10.0
Burundi,2014,51.4,20.0,N/A,15.9,73.5,51.9,N/A,59.8,63.1,68.2,71.8,60.0,30.0
Cabo Verde,2014,66.1,70.0,N/A,54.9,77.4,68.6,N/A,63.8,48.0,79.1,69.6,70.0,60.0
Cambodia,2014,57.4,30.0,N/A,18.7,90.8,88.4,N/A,36.6,50.2,77.9,71.0,60.0,50.0
Cameroon,2014,52.6,30.0,N/A,21.9,71.7,86.0,N/A,45.0,56.1,69.4,61.2,35.0,50.0
