Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.08239,19.27892,21.82276,21.32039,19.75715,,14.89786,18.90071,,20.7888,19.0362,21.53726,22.14366,21.74546,20.63408,21.87459,19.61272,22.85499,21.36655,,,
Afghanistan,AFG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.06756,16.04843,10.3568,14.1028,14.46593,12.509,16.2117,15.66138,,
Angola,AGO,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11468,,5.25508,,,,,7.99235,7.45479,,,,8.68477,,,,,,,,,
Albania,ALB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.15339,9.62407,9.68246,10.13703,10.58193,9.88692,10.5736,10.70316,11.35797,10.93295,11.17719,,,,,,12.12391,,11.3177,13.59696,12.3908,8.43546,
Andorra,AND,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4891,19.22652,18.95694,19.32306,
Arab World,ARB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.74871,,,,13.18468,,,,,,,,,,,
United Arab Emirates,ARE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39877,,15.62126,15.87754,16.22615,16.35596,16.44221,14.35472,15.1393,15.80317,15.50984,15.10157,15.74784,16.02067,15.04797,15.15856,14.51826,14.45793,13.79933,13.96331,13.35554,13.26392,,
Armenia,ARM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.64809,13.57852,13.46559,14.26845,13.45122,12.40051,12.59334,12.36897,11.13676,9.36712,10.65636,10.1972,10.40313,,
American Samoa,ASM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.43941,,,11.70154,,,,,,,6.92814,,,,,,,,,,
Australia,AUS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24973,13.35092,13.59172,14.06531,13.20402,15.01692,14.29702,14.77006,14.24612,,,,13.36016,,,,,13.58513,13.1782,13.03027,12.59972,13.42167,14.324,13.485,13.1744,14.04139,13.88379,14.07972,13.77107,,,
Austria,AUT,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.28604,11.51311,11.75021,11.75971,11.07318,,10.50612,9.74095,,11.29195,12.15057,11.03322,10.85632,10.53233,10.73962,9.87333,10.26185,10.37458,10.45229,10.55515,10.58393,10.78913,10.98849,10.70118,10.74029,10.41116,10.69348,10.95385,,,
Azerbaijan,AZE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.40279,24.11673,,18.75694,21.60498,21.11908,20.87755,13.63072,15.17084,14.23504,13.22315,10.10042,9.77937,7.76384,9.34393,8.70084,7.21986,5.64367,6.46413,7.23873,7.6311,8.2069,6.9504,,
Burundi,BDI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86403,18.12272,,16.75644,23.79244,16.7136,,,13.51864,10.73526,11.43313,12.48608,,9.17908,10.95927,,,12.61554,16.30169,16.5881,14.9793,16.42832,17.24326,19.68831,24.21655,20.9095,20.40137,19.91987,
Belgium,BEL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,10.27051,9.24833,,,,8.60583,8.18001,8.16213,,,,,10.17573,10.27698,5.8266,5.89461,,,,,,,,,11.1742,,,12.51252,11.84732,12.01315,11.70031,,11.89315,12.01019,12.17073,12.32835,,,
Benin,BEN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.46174,17.88519,13.5132,15.31058,14.12908,16.68253,19.21395,18.79039,19.70961,14.94869,19.08858,18.17562,26.14396,,25.02131,22.34122,22.22771,17.47952,18.7914,19.87965,17.70918,
Burkina Faso,BFA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33824,,,,,,19.94968,,7.34018,,,,,,,,,19.49419,18.2017,17.86382,,,16.17282,19.50061,15.89538,16.16528,19.36811,18.02708,,21.444,22.66117,
Bangladesh,BGD,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,5.2636,6.63403,6.39411,6.47326,8.08762,8.38863,9.13005,10.46843,,,11.19103,11.0621,12.53667,12.11385,,,,15.19687,,18.12979,20.49042,18.58478,15.6938,16.68163,15.95312,,17.33653,18.1534,17.81619,14.02987,,16.79397,15.59324,13.82282,,,11.41942,18.38782,14.6466,
Bulgaria,BGR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95102,,,9.27774,9.65432,11.18025,6.703,12.07252,12.01048,11.11392,12.61226,12.65675,11.16342,11.10005,10.69092,11.4398,,,,,,
Bahrain,BHR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91866,11.02673,10.55867,,,,8.28845,7.21531,8.68403,7.29736,,7.18035,,
"Bahamas, The",BHS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.92281,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55235,12.62011,12.45032,10.13372,,8.44955,11.77813,11.62665,12.7523,12.27399,12.40672,11.46173,12.15878,12.28169,,
Belize,BLZ,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18408,15.61226,18.30537,,16.13167,16.24847,,,,18.05774,21.57314,22.3818,,,22.23905,22.15761,21.61292,20.55235,21.29523,,
Bermuda,BMU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0366,11.11385,12.1054,,,,13.97043,12.93424,,,,7.79644,9.0188,,7.77347,,
Bolivia,BOL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62986,9.60027,11.45216,10.61096,9.6373,,10.41292,11.26515,12.4269,13.22306,14.08374,14.72693,14.16016,15.26901,15.72767,15.59278,15.44382,16.21822,,,,
Barbados,BRB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1682,22.15035,26.88882,24.72449,17.94845,17.82022,17.50705,,16.62288,15.17194,15.54344,17.45378,,16.11518,14.84482,17.45106,,14.05526,12.87915,,
Brunei Darussalam,BRN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,13.07099,11.23897,,,,,9.58601,11.84343,10.06579,8.71027,8.22682,9.18063,9.276,,,,,8.76089,8.89343,8.92074,,,,,,,,,,5.30208,9.18219,9.72642,,9.9846,,11.44195,,,
Bhutan,BTN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.77201,13.08501,,,18.69831,22.84906,,,15.02172,14.13973,11.02578,11.28502,,16.16983,17.82422,26.35213,26.18062,24.04098,22.76646,
Botswana,BWA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,14.32691,15.5187,15.42983,15.49169,16.69395,16.03128,,16.51088,,16.31502,,,,,,,,,,,,,25.82353,,26.50779,,20.4774,,,,,,,,,,
Central African Republic,CAF,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14008,9.92337,,,,,,,,8.94932,9.93077,,9.21473,12.02802,12.06446,9.68047,10.05424,9.86948,7.86,7.83693,6.47538,7.82546,,,,,,,,
Canada,CAN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,15.5789,15.53181,14.77497,14.0908,13.23688,12.6832,13.45583,13.53854,13.56977,13.19062,14.2638,13.11614,14.62348,12.93443,12.86363,,,12.63958,12.74188,12.9826,12.21224,12.1479,,,12.17807,,12.32856,12.00996,12.48364,12.33596,12.21914,,,,,,,,
Central Europe and the Baltics,CEB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72865,,11.27881,10.139015,10.32361,11.14328,10.92235,11.64438,11.0059,12.07252,12.66541,11.26715,11.61622,11.07648,11.06464,10.98486,10.958945,10.71742,11.27432,11.54798,11.74521,,,
Switzerland,CHE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,15.72518,15.65257,15.86462,15.58489,16.29344,15.94885,17.32631,17.31716,,16.31759,15.68916,15.47743,15.44456,,14.70215,14.46688,14.64065,15.42771,15.31152,16.33489,16.22231,15.8207,15.97005,15.67513,16.00964,15.64362,15.39088,15.5535,15.64387,15.209,15.4618,15.52885,15.51253,,,
Channel Islands,CHI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51883,14.13242,15.02462,15.75999,14.50414,15.17037,15.65222,16.42791,,17.4506,17.63722,17.02105,16.19909,16.23128,16.74641,17.40113,17.03561,17.84356,17.74974,,19.64569,19.92072,19.59405,21.15548,21.29961,,
China,CHN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,9.56325,9.76224,10.68738,10.43901,9.46158,10.74394,,,,12.29053,14.77395,20.06494,18.71717,19.50534,,14.55141,12.63156,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.22015,18.81475,21.67118,20.80695,23.20203,22.5923,22.64823,22.10716,21.84569,20.01789,20.75588,21.52691,22.19047,22.77275,22.42686,20.85876,21.57473,21.76678,21.17322,22.51621,20.68033,18.33167,
Cameroon,CMR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6837,15.73394,,21.44202,20.84712,21.37761,20.31265,21.37934,15.70061,19.77979,18.75389,14.86777,15.17622,13.82495,12.92925,13.24399,12.69469,15.91162,16.88316,
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5785,,,16.17474,10.55392,11.73837,14.63542,14.00642,,
"Congo, Rep.",COG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.41247,14.70778,,,14.12653,,,,9.05485,9.51995,8.56181,7.59782,,,,,24.72778,,,,6.55592,7.9504,,15.6822,15.56768,
Colombia,COL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,18.09229,16.40752,,,,17.22545,,,,,,,,,12.47536,13.15193,13.28683,13.46772,15.29956,15.53726,15.43978,15.53561,13.76883,14.48145,14.67729,16.08117,16.41858,15.52914,15.51283,16.90079,15.73606,15.13378,16.13978,16.14032,15.98262,
Comoros,COM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.13507,,,,15.78972,,,,,,29.23312,,,21.41487,18.49151,16.07073,18.88953,13.25365,,,,
Cabo Verde,CPV,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25592,16.76194,,,19.76623,,20.84048,,17.54058,18.32875,18.24099,15.88655,14.2169,15.15328,,14.77823,16.28219,16.74823,17.84301,16.41258,,
Costa Rica,CRI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.32237,,18.36396,17.65909,,,,,,16.74369,19.11466,,,21.92369,18.81951,19.15282,19.2405,20.15172,20.43089,,20.64334,21.02189,20.81096,23.40822,22.88089,23.00962,23.50156,22.83091,23.10953,23.37343,23.4232,30.15142,26.08667,
Caribbean small states,CSS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.90589,13.85188,16.35377,12.75157,12.798,16.70002,15.12972,14.410475,13.716215,8.92667,11.23004,14.26386,16.07829,16.32457,13.636205,11.73302,14.26937,,17.17305,19.11938,17.55284,16.10294,18.58193,18.80926,20.57386,21.79749,20.05148,19.14512,18.40254,18.584,
Cuba,CUB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.90412,14.26831,14.32157,14.91421,16.51523,15.83298,15.83936,16.17962,16.72048,17.59075,17.20125,15.64949,15.49765,,15.36213,15.92778,16.21095,16.69229,,,
Czech Republic,CZE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24754,,8.54842,8.90853,8.91229,8.67646,8.8648,8.38266,9.43307,9.20297,10.19694,9.57695,9.21464,9.43733,9.34049,9.92718,9.55685,9.60244,9.41373,13.88252,14.1515,,,
Germany,DEU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.58297,9.39557,9.50417,8.27008,,9.26752,,,,,,,,9.49249,10.06227,10.0362,10.18564,10.26904,10.66542,11.03474,11.03833,11.14962,10.97799,10.92541,,,
Djibouti,DJI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89607,29.38595,26.28002,25.48931,24.27149,24.70114,22.71505,24.70796,22.52744,,,12.3284,,,,,8.57644,12.00851,13.2547,13.99153,
Dominica,DMA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1116,11.41962,,,,,,,,,,,,,,,,10.5221,,,,
Denmark,DNK,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4157,12.2943,12.40994,11.18606,,10.6013,,13.87737,13.47953,13.14821,14.14248,,14.63437,14.54371,15.34415,15.54854,15.43388,15.14175,15.48686,15.77934,15.51264,15.3567,14.83026,14.94417,15.10334,15.03626,12.48871,15.21744,13.82682,,,,,
Dominican Republic,DOM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98848,12.50729,12.07972,9.70181,,,,12.57788,,,,,,,,,,,,
Algeria,DZA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.42835,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.640765,12.7549,15.26266,,14.1703,,,14.94431,14.03864,14.51142,15.46688,12.15085,16.248825,16.48569,,,,,,
Early-demographic dividend,EAR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.47833,16.497545,16.18775,16.310595,15.5741,,17.883675,17.78655,16.564,,16.16422,15.34338,15.81547,,16.945705,,,,,
