ref_area,ref_area.label,source,source.label,indicator,indicator.label,classif1,classif1.label,time,obs_value,note_indicator,note_indicator.label,note_source,note_source.label
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_LCU,Currency: Local currency,2010,4000,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_PPP,Currency: 2017 PPP $,2010,258.23,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_USD,Currency: U.S. dollars,2010,86.11,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_LCU,Currency: Local currency,2011,5000,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_PPP,Currency: 2017 PPP $,2011,297.83,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_USD,Currency: U.S. dollars,2011,106.96,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_LCU,Currency: Local currency,2012,5000,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_PPP,Currency: 2017 PPP $,2012,292.57,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_USD,Currency: U.S. dollars,2012,98.19,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
AFG,Afghanistan,FX:3344,AFG - ADM - Labour legislation,EAR_4MMN_CUR_NB,Statutory nominal gross monthly minimum wage -- Harmonized series,CUR_TYPE_LCU,Currency: Local currency,2013,5000,T30:110,Currency: AFG - Afghani (AFN),R1:2803_S7:56,Repository: Media Reports | Institutional sector coverage: Public sector only
