Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10.3,10.24166667,10.475,10.6,10.675,10.6,10.6,10.6,10.6,10.375,10.25,11.04166667,13.14166667,12.06666667,12.6,11.3,10.7,9.6,11,9.5,10.4,10.5,10.7,10.3,9,8.4,8.5,7.3,7,6.9,6.3,6,5.7
Afghanistan,AFG,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97,18.135,14.9175,15,15.61222222,15.14583333,15,15.07916667,15,15,15,14.83666667,,
Angola,AGO,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.25,217.875,37.75,45,80.29666667,103.1601742,95.96656083,97.33583333,96.115,82.33416667,67.71813074,19.51081445,17.6988356,12.53360576,15.68207424,22.54357202,18.75724054,16.65640132,15.8086383,16.38227094,16.8818624,15.78050394,15.80610038,20.67700403,19.29536721
Albania,ALB,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,20.58333333,29.58333333,23.66666667,19.65,23.95833333,32.70833333,,21.615,22.1025,19.65416667,15.30416667,14.27083333,11.76152183,13.075,12.93994286,14.09962279,13.01964271,12.66093515,12.82232989,12.4320986,10.88034654,9.826604344,8.658617478,8.725957147,9.654166667,6.593333333,5.9325,
Andorra,AND,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5575,14.0875,14.06083333,17.14916667,24.00916667,24.91583333,31.2325,26.58083333,48.51666667,67.25916667
Armenia,ARM,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,66.35833333,54.2275,48.485,38.84833333,31.56600039,26.6875,21.13698193,20.82905443,18.63328512,17.98427289,16.52510371,17.51568537,17.04948273,18.76447059,19.20042831,17.75447379,17.23006824,15.99498737,16.40866526,17.59033032,17.35670611,14.40600168,12.79304193,12.14198895
American Samoa,ASM,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,8.599999999,8.599999999,10,11,13,13.83333333,13.66666667,13.16666667,14.16666667,12.66666667,11.16666667,12.66666667,12.66666667,12.6500001,12.70000005,12.67585965,13.14676231,12.69584697,12.25919106,11.98258611,12.19511147,12.07187764,12.17155394,11.6243804,11.38791338,12.82198145,11.96439075,11.39393808,10.89058988,10.43853504,10.42910094,10.06537009,10.99934751,10.91445252,10.15719664,9.952353294,10.07183771,9.835083333,9.575,9.31,8.976532,8.611329083
Australia,AUS,Lending interest rate (%),FR.INR.LEND,5,5.5,5.5,5.125,5.072916667,5.3125,5.375,5.375,5.583333333,5.875,6.90625,7.25,7.020833333,7.34375,9.375,10.27083333,9.916666667,9.875,9.375,9.125,9.979166667,11.83333333,13.29166667,12.41666667,11.5,12.41666667,15,15.08333333,14.08333333,16.45833333,16.35416667,13.41666667,10.58333333,9.416666667,9.0875,10.5,9.729166667,7.166666667,6.683333333,6.566666667,7.716666667,6.841666667,6.3625,6.6125,7.05,7.258333333,7.6125,8.195833333,8.908333333,6.020833333,7.279166667,7.7375,6.975,6.179166667,5.95,5.575,5.420833333,5.2455,5.260833333,5.101
Austria,AUT,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.85,19.48333333,19.65583333,19.70583333,17.37083333,15.45666667,15.72,17.02833333,17.86333333,19.13083333,19.7625,20.02916667,20.7,18.98833333,18.34583333,18.21,17.8575,17.53416667,16.37522672,16.5425,17.44833333,17.28121517
Burundi,BDI,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12.34166667,12.78333333,13.65833333,13.76666667,14.2,15.25833333,,,15.4,15.23583333,15.77,16.82416667,19.4675,18.23083333,18.25416667,18.445,17.0725,16.84333333,16.52083333,14.07583333,12.42,13.2325,14.32,15.1475,15.66833333,15.32916667,14.23833333,14.79666667,14.78916667,14.53333333
Belgium,BEL,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.044166667,4.736666667,4.751666667,4.984166667,4.9775,5.113333333,5.255916667,5.039166667,5.2875,5.338333333,5.154166667,5.295,5.14,,
Burkina Faso,BFA,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.868333333,4.736666667,4.751666667,4.984166667,4.9775,5.113333333,5.255916667,5.039166667,5.2875,5.338333333,5.154166667,5.295,5.14,,
Bangladesh,BGD,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,11,11,11,11,11.33333333,12,12,12,12,12,14,16,16,16,16,15.91666667,15,15,14.5,14,14,14,12.9325,13.09916667,12.755,12.82,12.60916667,12.0425,10.39916667,10.615,11.66416667,12.635,12.88916667,13.32666667,12.21916667,13.32166667,13.94416667,13.59333333,12.945,11.70916667,10.40916667,9.54,9.650833333,9.555833333
Bulgaria,BGR,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.05,76.85583333,102.515875,79.3615,291.05985,213.0184167,14.08335,13.498425,11.34338333,11.11076667,9.207841667,8.543366667,8.871325,8.660983333,8.892525,9.997766667,10.861425,11.335,11.14436667,10.62945833,9.714208333,9.043408333,8.262641667,7.448866667,6.393016667,5.439558333,4.963225,4.549208333
Bahrain,BHR,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,8.958333333,7.5,7.8,8.411481976,8.411481976,9.376328438,11.72659546,10.83596796,10.71226969,11.70185581,12.32034713,12.19664887,11.79586649,11.73401736,11.6028972,10.69247797,8.406534045,8.295205607,7.904319092,7.821853583,7.97523943,8.266342679,8.223460614,7.941428571,7.2475,6.790833333,6.035,5.935,5.868333333,5.160833333,,,,
"Bahamas, The",BHS,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,9.5,9.5,9.5,9.125,10.83333333,11,11,11,11,10.33333333,9.25,9,9,9,9,9,8.083333333,7.458333333,6.875,6.75,6.75,6.75,6.75,6.375,6,6,6,6,6,5.541666667,5.5,5.5,5.5,5.5,5.5,5.0625,4.75,4.75,4.75,4.75,4.75,4.25,4.25,
