Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.466464697,6.934939387,6.258843591,4.521314228,4.793835126,6.55868225,5.03670903,4.042074427,6.993630075,6.869456659,6.310566306,4.196826441,10.70626083,10.9040923,6.599454963,6.479180834,8.425120147,7.271182983,7.419914097,6.367172424,4.200284159,5.165102501,8.820589763,11.05188117,5.715113589,7.551327442,10.99997995,5.426754362,4.85974943,8.475368794,5.57519877,,
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0468971,-3.585111117,12.55796015,17.54292894,11.36409373,-1.241505994,7.174387238,9.784495941,14.35168934,12.25254816,9.416776066,12.64269931,,
Angola,AGO,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.09500018,-93.51345888,-29.52270655,4.047558877,-72.57850016,-60.78132704,-5.032933217,-33.55340241,1.128335509,36.64112902,17.79980358,2.042994969,12.83733436,-5.726999567,38.97594669,-6.944836263,-9.876413354,8.764746432,12.61078024,12.38059703,21.1441877,-4.922053009,-5.552690844,-10.50679038,
Albania,ALB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,3.501953157,1.000309155,1.000584369,0.996284184,1.437570042,-25.46909106,-63.78712048,-42.57351395,-8.963182193,8.801745014,-10.28700972,19.29945426,,19.10955598,15.57944784,15.2582927,11.25004813,8.625453999,8.34124933,9.45903065,10.20609795,9.301400933,8.550421302,9.996117637,7.971075242,9.888417419,9.736425177,9.510392978,7.000243565,8.116225225,10.35207977,5.044707015,4.937329983,
Andorra,AND,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.56602872,-7.773405236,-6.748195554,-5.485839182,-11.60069877,-1.314708785,-7.006039843,0.455012808,5.553461974,
Armenia,ARM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.91305774,39.10516828,30.9943494,34.13461159,38.77366744,33.39846306,21.73397424,18.33274691,15.5583255,11.59233051,14.28173192,11.37952805,12.74351141,10.43491465,15.80345155,10.60763579,12.91975789,11.28119329,12.21684304,13.78124866,16.18000967,17.04235951,11.99733996,9.95284203,
American Samoa,ASM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
