Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.98460564,22.00881498,27.47514031,30.53127808,27.39801737,28.37740961,32.29654235,34.09166428,40.88052661,42.90529779,21.65934517,22.02628449,,
Angola,AGO,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.29376708,89.39852271,61.73234677,74.92738681,73.51971954,76.48764165,79.92095277,85.14403836,81.82761632,81.07838477,66.36193192,71.99066071,76.45726518,78.00692026,74.85788169,69.92511662,68.68806864,68.50560558,69.90996278,,
Albania,ALB,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30593032,16.22796984,10.94628343,11.41442873,,,,20.76226525,19.30992865,20.54048107,,,,,,,19.8053632,19.09073212,19.75387214,19.07504168,20.56840284,16.51651558,21.76560578,23.38267566,
Andorra,AND,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.133741154,4.987968829,6.687768914,15.29420453,19.43338416,17.95042054,21.08770431,21.32402347,24.15007816,25.00495475,25.10695559,26.56162071,18.70318421,22.04507389,24.2023542,25.24701628,25.02567773,20.56269787,18.66942376,19.20280383,19.16404823,20.77794911,21.4742359,23.33329976,24.53457692,27.22465457,21.86487263,22.89825431,18.51414353,
Armenia,ARM,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.63131317,22.75740426,26.36031018,24.3347396,22.64445782,27.38862521,25.69228346,27.52373094,28.18281221,40.1527718,39.17559301,40.46732733,44.06939322,40.60897695,43.63977515,
American Samoa,ASM,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,66.68344238,67.43719778,68.97247706,71.71303488,69.92316785,70.70108833,71.54118854,67.92605529,67.64684475,68.49847095,69.76370485,68.25751866,66.03046635,66.70442317,67.02073419,68.35216417,68.42140317,70.21932296,70.86390376,71.88932141,72.17993476,72.37801237,71.10937349,70.43052259,71.40486439,72.60611608,72.8082699,73.40398054,75.0575127,70.85899514,68.89501429,68.72229766,69.37785347,71.02654427,71.8006171,72.21594078,72.9161195,72.35710017,69.87970752,70.94908893,72.9040999,71.67816828,70.93398435,72.79992793,72.17086171,72.73759812,73.48674772,
Austria,AUT,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,32.05437404,30.95283378,33.7575407,33.5508515,32.47857039,33.06377984,36.74349882,36.3294246,36.73376261,37.07435395,36.4425555,35.77329738,35.74446641,35.36360139,35.53764628,33.89531958,35.41441707,33.18238352,34.76331796,35.96191406,36.86390533,38.17462021,36.77522215,44.94171377,46.47959068,47.22536341,47.46526811,46.53290094,46.50960656,49.31340612,47.04136294,46.98404061,46.73226094,46.191237,46.84883459,48.03232444,48.94232579,45.5206182,45.78434705,45.9508541,46.26123458,46.70377217,47.54115404,48.62214231,45.98713303,46.64066869,47.62511273,
Azerbaijan,AZE,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.53551731,30.85705187,28.41675409,28.41832804,29.5920276,30.18155992,,,,,,,,,53.0784403,38.24021345,39.2519563,44.94494966,43.9253806,41.68635103,39.25411927,37.91632292,35.57508641,35.92172194,33.64632291,
Burundi,BDI,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,19.6031746,19.84154323,22.88828338,19.87718899,16.71183379,18.79790729,18.37598227,20.62238737,25.93580247,,,,,,,,,,25.19712033,24.54494827,27.0170179,19.20379199,21.69030307,27.46761695,26.36593527,22.88292113,24.41994259,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.91268329,56.94808233,57.19156627,58.23285228,56.59940012,57.48233847,58.52052295,60.12254396,59.40736434,58.63879042,59.12889211,58.82442367,58.69090764,59.82812074,57.23934206,57.35611227,58.38877997,58.06813248,59.20352658,59.55498799,57.73158189,54.44308159,55.95337347,56.14258959,
Benin,BEN,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,22.32114176,18.477306,21.89360626,15.57759412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4062549,24.80382123,22.43969563,23.5325861,23.25522003,23.84142524,23.26873749,21.57115976,23.61131242,28.89795496,28.74217819,27.9258722,27.91741446,25.2357674,26.57862922,25.43639591,27.422526,
Bangladesh,BGD,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.96478871,16.71550947,15.68934194,15.85009508,16.19896185,18.84111857,22.67102583,24.24246127,25.40956164,25.98191627,27.60053653,29.57050769,32.016934,32.60235853,31.61253645,29.67883808,,,
Bulgaria,BGR,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.72619708,62.27604184,44.4729244,27.73672868,26.52017343,31.5329774,34.8626336,35.5585188,26.40860089,24.78170571,22.168338,24.42445639,21.29729616,29.26004929,26.05864138,21.88765592,21.7426089,31.40152223,25.95773955,27.13489661,25.67315075,25.12854752,23.87972426,24.74256685,26.69118461,25.65027126,26.43803249,27.40697219,27.68387165,
