Name,Index Year,Overall Score,Property Rights,Government Integrity,Tax Burden,Government Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Albania,2007,61.4,30,24,87.3,75.1,64.1,49.7,80.3,73.2,60,70
Algeria,2007,55.4,30,28,73.8,74.2,73.7,57.6,80.7,66,50,20
Angola,2007,44.7,20,20,85,61.6,35.3,44.9,47.7,73,20,40
Argentina,2007,54,30,28,70.7,81.5,63.9,42.9,71.4,61.4,50,40
Armenia,2007,68.6,30,29,89.7,90.8,80.8,70.3,80.3,85.6,60,70
Australia,2007,81.1,90,88,59.5,62.6,89.1,93.7,84.8,83.8,70,90
Austria,2007,71.6,90,87,50.3,24.7,81.7,70.1,86,86.6,70,70
Azerbaijan,2007,54.6,30,22,80.8,79.9,58,60.8,76.8,77.6,30,30
Bahrain,2007,71.2,60,58,99.4,75.3,80,40,80.1,79.6,50,90
Bangladesh ,2007,46.7,30,17,84.1,94,59.1,63.8,68.7,0,30,20
Barbados,2007,70,90,69,67.4,59.8,90,80,76.6,57,50,60
Belarus,2007,47,20,26,81.8,60,55.7,68.2,61.5,67.2,20,10
Belgium,2007,72.5,80,74,44.1,26.5,92.6,70.8,80.5,86.6,90,80
Belize,2007,63.3,50,37,69.7,74.9,77.4,83.2,73.2,67.2,50,50
Benin,2007,55.1,30,29,67.8,87,48.5,51.9,82.4,64.6,30,60
Bolivia,2007,54.2,30,25,88.9,69.3,59.9,28.6,70.9,79.2,30,60
Bosnia and Herzegovina,2007,54.4,10,29,74.9,47.8,55.4,53.8,82.5,80.2,50,60
Botswana,2007,68.1,70,59,73.9,56.2,66.1,69.4,76.8,69.6,70,70
Brazil,2007,56.2,50,37,68.6,55.5,54.2,64.1,72.6,69.8,50,40
Bulgaria,2007,62.7,30,40,82.4,57.8,70.3,79.8,75.8,70.8,60,60
Burkina Faso,2007,55.1,30,34,77.4,86.5,43.8,45.1,76.8,67.2,40,50
Burma,2007,41,10,18,81.9,98,20,20,70.1,71.8,10,10
Burundi,2007,46.9,30,23,70.1,52.5,49.6,55,68.2,60.6,30,30
Cabo Verde,2007,56.5,70,30,67,56.5,55.7,56.4,88.1,41.2,50,50
Cambodia,2007,55.9,30,23,91.4,93.3,43.5,44.3,81,52.2,50,50
Cameroon,2007,55.6,30,22,69.5,92.4,41,53.7,77.4,60,50,60
Canada,2007,78,90,84,75.9,52.2,96.8,82.5,80.7,88.2,60,70
Central African Republic,2007,50.6,20,30,65.6,94.4,41.1,49.4,76.5,49.2,40,40
Chad,2007,50.1,20,17,49.8,93.8,49,44.3,77.7,59.2,40,50
Chile,2007,77.7,90,73,78.8,87.9,68.2,77,79.8,82.4,70,70
China,2007,52,20,32,66.6,87,46.9,64.2,75.5,68,30,30
Colombia,2007,59.9,30,40,71.7,70.2,71.8,63.5,70.3,71.4,50,60
Costa Rica ,2007,64,50,42,83,86.4,59,60.1,67.1,82.4,70,40
Côte d'Ivoire ,2007,54.9,30,19,52.1,87.8,48.1,59.9,78.6,63.6,40,70
Croatia,2007,53.4,30,34,69.9,24.4,54.2,44.5,79.3,87.8,50,60
Cuba,2007,28.6,10,38,51.7,10,10,20,65.8,60.2,10,10
Cyprus,2007,71.7,90,57,79.4,44.8,70,70,84.7,81.6,70,70
Czech Republic,2007,67.4,70,43,69.9,47.1,61.1,59.7,86.3,86.6,70,80
Denmark,2007,77,90,95,34.2,12.8,94.8,99.9,86.8,86.6,80,90
Djibouti,2007,52.4,30,30,80.5,60,38.3,59.3,79,36.4,50,60
Dominican Republic,2007,56.8,30,30,79.7,90.2,56.7,54.2,63.2,73.8,50,40
Ecuador,2007,55.3,30,25,86.5,81.7,58.8,39.8,74.5,67,30,60
Egypt,2007,54.4,40,34,90.4,72.8,40.9,62.1,66.8,57.2,50,30
El Salvador ,2007,68.9,50,42,83.5,90,60.2,69,77.7,76.6,70,70
Equatorial Guinea,2007,53.2,30,19,75.4,84.1,48.2,47,80.1,57.6,30,60
Estonia,2007,78,90,64,84.5,61.8,79.9,49.7,83,86.6,90,90
Eswatini,2007,60.1,50,27,72.3,66.1,70.4,69.8,76.3,69,50,50
Ethiopia,2007,53.6,30,22,77.2,81.3,59.4,61.5,71.8,63,50,20
Fiji,2007,60.8,30,40,75.5,71,70.4,84.7,74.7,71.8,30,60
Finland,2007,74,90,96,63.1,23.5,95.3,45.6,89.9,86.6,70,80
France,2007,62.1,70,75,46.3,13.5,87.2,56.1,81,81.6,50,60
Gabon,2007,54.8,40,29,61.3,85.9,53.3,60.1,81.6,56.4,40,40
Georgia,2007,69.3,30,23,91.2,88.4,80.8,99.9,77.8,71.8,60,70
Germany,2007,70.8,90,82,61.4,33.7,88.9,44.2,81.5,86.6,90,50
Ghana,2007,57.6,50,40,82.5,66.7,54.9,48.4,70.1,63,50,50
Greece,2007,58.7,50,43,62.4,53.4,69.7,58,78.4,81.6,50,40
Guatemala ,2007,60.5,30,25,79.8,96.1,52.3,59.6,71.6,80.2,50,60
Guinea,2007,54.5,30,30,74.3,91.8,40.9,70.5,57.5,59.6,30,60
Guinea-Bissau,2007,46.1,20,10,82.9,51,27.2,51.6,80.7,57.8,40,40
Guyana,2007,53.7,40,25,67.1,34.3,57,62.5,74.1,67,50,60
Haiti,2007,51.4,10,18,78,95.2,38.6,62.6,62.2,79.2,30,40
Honduras ,2007,59.1,30,26,81.8,82.6,56.1,44,71.5,79.2,50,70
Hong Kong,2007,89.9,90,83,92.9,91.9,88.4,86.3,91.6,95,90,90
Hungary ,2007,64.8,70,50,68.8,26.8,70.2,68.7,76.6,86.6,70,60
Iceland,2007,76,90,97,73.5,41.7,94.9,66.2,82.9,84,60,70
India,2007,53.9,50,29,76,71.4,50.8,63.2,77.2,51.2,40,30
Indonesia,2007,53.2,30,22,77.5,89.1,48.2,50.1,70.9,74,30,40
Iran,2007,45,10,29,81.2,84.5,55.4,52.5,62,55.4,10,10
Ireland,2007,82.6,90,74,71.7,65.9,92.1,80.6,85.3,86.6,90,90
Israel,2007,64.8,70,63,58,33.4,69.4,64.8,84.2,85.2,70,50
Italy,2007,62.8,50,50,52.8,31.5,77,74.4,80.5,81.6,70,60
Jamaica ,2007,65.5,50,36,75.1,61.8,82,68.5,71,70.4,80,60
Japan,2007,72.7,70,73,70.9,58.3,91.2,83,90.9,80.2,60,50
Jordan,2007,64.5,50,57,83.2,57.4,54.9,74.6,83.5,74.2,50,60
Kazakhstan,2007,59.6,30,26,81.4,83.7,58.5,84.3,72.9,69.2,30,60
Kenya,2007,59.6,40,21,78.9,82.1,64.5,59.9,74.4,75,50,50
Kuwait,2007,66.4,50,47,99.9,60.7,70.7,80.1,78.8,77.2,50,50
Kyrgyz Republic ,2007,60.2,30,23,92.7,77.1,59.9,71.1,77.1,81.4,40,50
Laos,2007,50.3,10,33,70.8,92.8,52.1,62.5,71.3,60.8,30,20
Latvia,2007,67.9,50,42,83.9,61.3,74.5,66.9,74.2,86.6,70,70
Lebanon,2007,60.4,30,31,93.9,64.3,56.6,62.3,88.4,77.4,30,70
Lesotho,2007,53.2,40,34,69.3,44.3,68.2,64.6,77.1,54.4,30,50
Libya,2007,37,10,25,81.7,43.8,20,20,80.1,39.6,30,20
Lithuania,2007,71.5,50,48,86.5,70.8,84.3,57.3,81.1,86.6,70,80
Luxembourg,2007,74.6,90,85,65.3,44,76.9,47.8,80.2,86.6,90,80
Madagascar,2007,61.1,50,28,80.8,81.1,51.2,47.2,70,82.8,70,50
Malawi,2007,52.9,40,28,71,45.3,54.4,57.3,68.2,64.6,50,50
Malaysia ,2007,63.8,50,51,81.8,78.9,67.6,72,80.1,76.8,40,40
Mali,2007,54.7,30,29,69.3,81.3,38.1,62.5,78.4,68.6,50,40
Malta,2007,66.1,90,66,61.1,27.7,70,60,80,86.6,50,70
Mauritania,2007,53.6,30,30,75.5,57.4,37.5,50.6,73.9,71.4,60,50
Mauritius,2007,69.4,60,42,81.3,79.7,73.3,71.7,75.8,80,70,60
Mexico,2007,66,50,35,82.2,83.4,83.5,61.7,77,77.6,50,60
Moldova,2007,58.7,50,29,85.6,62.8,68.1,64.4,68,79.4,30,50
Mongolia,2007,60.3,30,30,72.8,54.1,70.8,70.9,74.9,80,60,60
Morocco,2007,56.4,30,32,63.2,78.1,74.6,31.4,83.2,61,70,40
Mozambique ,2007,54.7,30,28,78.2,82.7,48.2,32.9,76.5,70.2,50,50
Namibia,2007,63.5,30,43,67.8,64.9,75.7,86.1,78.7,89,40,60
Nepal,2007,54.4,30,25,86.6,92.8,60.7,45.8,81.8,61.4,30,30
Netherlands,2007,75.5,90,86,48.8,34.9,88.4,62.7,87.2,86.6,90,80
New Zealand,2007,81.4,90,96,61.4,56.5,99.9,92.1,84.6,84,70,80
Nicaragua ,2007,62.7,30,26,79.6,78.5,56.4,73.4,70.9,82.4,70,60
Niger,2007,53.2,30,24,66.2,86.3,38.4,44,80.6,62.4,50,50
Nigeria,2007,55.6,30,19,84.2,66.9,58.6,86.3,69.1,61.6,30,50
North Korea,2007,3,10,10,0,0,0,0,0,0,10,0
North Macedonia,2007,60.6,30,27,85,60.9,60.1,58.8,90.7,83.4,50,60
Norway,2007,67.9,90,89,50.6,37.6,91.1,49,82.5,89.2,50,50
Oman,2007,65.8,50,63,98.5,52,56.6,76.2,77.5,83.8,50,50
Pakistan ,2007,57.2,30,21,73,92.3,71.6,57.4,72.6,63.6,50,40
Panama ,2007,64.6,30,35,83,89.5,72.7,43.7,85.8,76.2,70,60
Paraguay ,2007,58.3,30,21,96.7,91.4,49.3,28.5,78.4,77.4,50,60
Peru,2007,62.7,40,35,80.2,91.4,65.2,46.6,85.7,72.6,50,60
Philippines,2007,56,30,25,76,89.5,53.4,52.6,73.4,79.8,30,50
Poland,2007,58.1,50,34,68.6,44.8,55.3,61.4,80.3,86.6,50,50
Portugal,2007,64,70,65,62.3,35.4,78.6,41.5,80.4,86.6,70,50
Qatar,2007,62.9,50,59,99.8,71.4,60,60,72.4,76.4,30,50
Republic of Congo ,2007,44.4,10,23,59.8,75.5,47.3,45,74.5,49.4,30,30
Romania,2007,61.2,30,30,85.9,71,73.2,58,69.7,84,50,60
Russia,2007,52.2,30,24,79.5,69.5,62,61.5,62.8,62.6,30,40
Rwanda,2007,52.4,30,21,73.9,79.6,51,58.2,70.3,70.6,30,40
Saudi Arabia,2007,60.9,50,34,99.4,66.7,53,84.9,80,70.4,30,40
Senegal,2007,58.1,50,32,60.8,83.9,56.4,43.2,82.9,71.6,50,50
Sierra Leone,2007,47,10,24,73,81.5,50.5,32.7,72.9,55.2,30,40
Singapore,2007,87.1,90,94,89.5,93.8,96.7,97.8,89.4,90,80,50
Slovakia,2007,69.6,50,43,89.5,53.7,70.7,76.1,76.6,86.6,70,80
Slovenia,2007,59.6,50,61,54.6,30.9,72.9,41.2,78.9,86.6,70,50
South Africa,2007,63.5,50,45,69.7,79.2,70.4,58.5,78.8,73.8,50,60
South Korea,2007,67.8,70,50,71.6,76.3,84.3,57.3,78.9,69.2,70,50
Spain,2007,69.2,70,70,55.2,54.8,78,49.3,78.5,86.6,70,80
Sri Lanka,2007,59.4,50,32,78.5,83.4,69.2,68.9,70.4,71.6,30,40
Suriname,2007,54.8,50,32,67.8,75.6,42,86.1,69.1,65,30,30
Sweden,2007,69.3,90,92,33.1,3.6,94.2,65,83.8,81.4,80,70
Switzerland,2007,78,90,91,67.9,59.8,84.1,77,83.5,87,70,70
Syria,2007,48.3,30,34,82.4,58.3,58.4,57,69,54,30,10
Taiwan,2007,69.4,70,59,77,86.8,71.6,47.2,81.3,81.6,70,50
Tajikistan,2007,53.6,30,21,89.7,87.6,39.2,60.1,67,71,30,40
Tanzania,2007,56.8,30,29,80.6,85.2,45.8,47.2,77,73.6,50,50
Thailand ,2007,63.5,50,38,74.8,91.3,73,76.4,77.6,74.2,30,50
The Bahamas,2007,72,80,70,96.6,88.7,80,80,76.1,38.8,40,70
The Gambia,2007,57.7,30,27,72,70.8,59.4,74.7,68.1,64.6,50,60
Togo,2007,49.7,30,30,54.7,92,37.5,47.8,76.5,68.4,30,30
Trinidad and Tobago,2007,70.6,70,38,82,80.6,62.7,78.9,74.7,79,70,70
Tunisia,2007,60.3,50,49,73.3,78.5,78.9,61,80.1,71.8,30,30
Turkey,2007,57.4,50,35,69.1,62.4,67.4,38.8,70.1,81,50,50
Turkmenistan,2007,43,10,18,91.7,85.3,30,30,65.9,79.2,10,10
Uganda,2007,63.1,30,25,80.6,83,57.5,87.8,78,68.8,50,70
Ukraine,2007,51.5,30,26,83.6,53.2,43.6,52.8,68.4,77.2,30,50
United Arab Emirates,2007,62.6,40,62,99.9,82.3,49.3,73.9,73.6,75,30,40
United Kingdom,2007,79.9,90,86,62,42.7,91.2,79,81.3,86.6,90,90
United States,2007,81.2,90,76,69,60.3,91.4,94.7,83.8,86.6,80,80
Uruguay ,2007,68.4,70,59,86.2,77.8,62.2,73.9,73.1,81.6,70,30
Uzbekistan,2007,51.5,30,22,85,69.3,65.2,66.8,58.6,68.2,30,20
